ANO,LITORAL,ENTIDAD,MES,GRUPO,NOMBREPRINCIPALESPECIE,ORIGEN,ORIGEN DEL CAMARÓN,TIPOGUA,DESTINO,ACUACULTURA,PESO DESEMBARCADO (KG),PESO VIVO (KG),VALOR (PESOS)
2022,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,BAGRE,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,557,557,"5,876"
2022,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,BANDERA,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,"96,340","96,857","984,800"
2022,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,BERRUGATA,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,"13,099","13,267","115,572"
2022,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,BESUGO,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,"10,308","10,348","555,845"
2022,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,BONITO,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,"34,908","35,108","408,474"
2022,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,BONITO,CAPTURA,NO APLICA,SALOBRE / MARINA,USO INDUSTRIAL,NO APLICA,600,600,"3,000"
2022,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,CABRILLA,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,723,729,"91,035"
2022,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,CAMARÓN,ACUACULTURA,CULTIVO,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,SISTEMAS CONTROLADOS,75,75,"8,025"
2022,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,CAMARÓN,CAPTURA,MAR ABIERTO,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,"288,647","293,435","9,628,001"
2022,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,CAZÓN,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,"23,650","23,755","474,530"
2022,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,CHARAL,CAPTURA,NO APLICA,DULCE,CONSUMO HUMANO DIRECTO,NO APLICA,"50,000","50,000","250,000"
2022,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,CINTILLA,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,634,634,"6,158"
2022,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,CORVINA,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,"160,450","163,281","4,873,526"
2022,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,ESMEDREGAL,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,"3,729","3,736","272,216"
2022,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,FAUNA DE ACOMPAÑAMIENTO,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO INDIRECTO,NO APLICA,456,538,"2,736"
2022,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,GUACHINANGO,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,"63,959","65,840","3,425,136"
2022,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,JAIBA,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,"180,149","182,255","2,822,430"
2022,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,JUREL,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,"370,305","370,435","5,098,126"
2022,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,LANGOSTA,ACUACULTURA,NO APLICA,DULCE,CONSUMO HUMANO DIRECTO,SISTEMAS CONTROLADOS,"2,500","2,500","39,063"
2022,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,LEBRANCHA,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,300,330,"3,000"
