ANO,LITORAL,ENTIDAD,MES,GRUPO,NOMBREPRINCIPALESPECIE,ORIGEN,ORIGEN DEL CAMARON,TIPOGUA,DESTINO,ACUACULTURA,PESO DESEMBARCADO (KG),PESO VIVO (KG),VALOR (PESOS)
2015,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,BAGRE,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,1389.11,1429.11,15295.0241
2015,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,BANDERA,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,108243.23,108287.13,995823.3182
2015,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,BERRUGATA,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,21472.86,21472.86,183942.6906
2015,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,BESUGO,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,2618.56,2648.56,52713.47
2015,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,BONITO,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,157997.53,157997.53,977269.223
2015,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,CABRILLA,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,225.45,225.45,1613.493
2015,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,CAMARON,CAPTURA,MAR ABIERTO,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,478883.4,584057.4,30832027.24
2015,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,CARPA,CAPTURA,NO APLICA,DULCE,CONSUMO HUMANO DIRECTO,NO APLICA,4517.35,4517.35,25116.466
2015,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,CAZON,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,22701.31,22719.41,372922.5885
2015,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,CHARAL,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,31730,31730,250326.9
