ANO,LITORAL,ENTIDAD,MES,GRUPO,NOMBREPRINCIPALESPECIE,ORIGEN,ORIGEN DEL CAMARON,TIPOGUA,DESTINO,ACUACULTURA,PESO DESEMBARCADO (KG),PESO VIVO (KG),VALOR (PESOS)
2016,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,BAGRE,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,7018,7023.29,129350.56
2016,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,BANDERA,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,81671,81717.84,788249.85
2016,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,BERRUGATA,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,12739,12749.76,108578.79
2016,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,BONITO,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,234051,234080,1525968.15
2016,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,CABRILLA,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,1161,1162.8,8445.57
2016,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,CAMARON,ACUACULTURA,CULTIVO,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,SISTEMAS CONTROLADOS,7032,7032.15,379657.68
2016,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,CAMARON,CAPTURA,MAR ABIERTO,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,191496,200626.35,12461321.25
2016,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,CARPA,CAPTURA,NO APLICA,DULCE,CONSUMO HUMANO DIRECTO,NO APLICA,5919,5928,36461.04
2016,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,CAZON,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,29507,29539.68,485735.49
2016,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,CHARAL,CAPTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,NO APLICA,86092,86092.8,739348.68
2016,GOLFO Y CARIBE,CAMPECHE,ENERO,ANIMAL,CORVINA,ACUACULTURA,NO APLICA,SALOBRE / MARINA,CONSUMO HUMANO DIRECTO,SISTEMAS CONTROLADOS,24300,24300,1568565
